난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Bronze III,사칙연산/구현/수학,10950,A+B - 3,UNRANK,시간 초과,,,C++17,208,2022-04-16 17:24
Bronze III,브루트포스 알고리즘/수학/정수론,5618,공약수,UNRANK,맞았습니다!!,11988,512,Java 8,826,2022-04-16 17:24
Silver V,브루트포스 알고리즘,1018,체스판 다시 칠하기,UNRANK,런타임 에러 (TypeError),,,node.js,1237,2022-04-16 17:24
Bronze II,브루트포스 알고리즘,2798,블랙잭,UNRANK,맞았습니다!!,30840,1028,Python 3,566,2022-04-16 17:24
Platinum III,깊이 우선 탐색/다이나믹 프로그래밍/트리에서의 다이나믹 프로그래밍/그래프 이론/그래프 탐색/트리,21759,두 개의 팀,Diamond V,17점,17704,84,C++17,1280,2022-04-16 17:24
Silver II,백트래킹/브루트포스 알고리즘,1182,부분수열의 합,Gold IV,맞았습니다!!,2020,4,C++17,440,2022-04-16 17:24
Gold II,그래프 이론/위상 정렬,2623,음악프로그램,Gold I,맞았습니다!!,32452,96,Python 3,796,2022-04-16 17:24
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Platinum III,틀렸습니다,,,C++17,795,2022-04-16 17:24
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Diamond V,틀렸습니다,,,C++17,1533,2022-04-16 17:24
Silver V,그리디 알고리즘/수학,1789,수들의 합,Not ratable,틀렸습니다,,,Java 11,460,2022-04-16 17:24
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,Silver II,맞았습니다!!,16488,192,Java 11,2410,2022-04-16 17:24
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,UNRANK,런타임 에러,,,PyPy3,1089,2022-04-16 17:24
Bronze III,구현,2742,기찍 N,UNRANK,맞았습니다!!,30840,124,Python 3,107,2022-04-16 17:24
Silver V,구현/문자열,1316,그룹 단어 체커,Gold IV,틀렸습니다,,,C++17,502,2022-04-16 17:24
Gold IV,벨만–포드/그래프 이론,11657,타임머신,Silver III,맞았습니다!!,30840,668,Python 3,854,2022-04-16 17:24
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,1697,숨바꼭질,Gold V,메모리 초과,,,Python 3,290,2022-04-16 17:24
Bronze II,사칙연산/구현/수학,2587,대표값2,UNRANK,맞았습니다!!,1112,0,C++17,264,2022-04-16 17:24
Silver V,브루트포스 알고리즘/구현,7568,덩치,UNRANK,맞았습니다!!,2020,0,C++17,445,2022-04-16 17:24
Bronze III,사칙연산/구현/수학,2739,구구단,Bronze I,맞았습니다!!,1112,0,C99,158,2022-04-16 17:24
Bronze III,사칙연산/구현/수학,2739,구구단,UNRANK,맞았습니다!!,1112,0,C++17,159,2022-04-16 17:24
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,Gold IV,틀렸습니다,,,Python 3,339,2022-04-16 17:24
Silver IV,그리디 알고리즘,13305,주유소,UNRANK,100점,2672,36,C++17,593,2022-04-16 17:24
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,틀렸습니다,,,Python 3,408,2022-04-16 17:24
Silver IV,자료 구조/스택/문자열,4949,균형잡힌 세상,Gold IV,맞았습니다!!,30840,112,Python 3,707,2022-04-16 17:24
Platinum V,자료 구조/그리디 알고리즘/우선순위 큐/트리,23578,비 오는 날,Diamond V,컴파일 에러,,,C++17,773,2022-04-16 17:24
Silver V,조합론/다이나믹 프로그래밍/수학,1010,다리 놓기,Silver II,맞았습니다!!,2020,0,C++17,315,2022-04-16 17:24
UNRANK,구현,15643,Yee,Silver I,틀렸습니다,,,Text,,2022-04-16 17:24
Gold V,0-1 너비 우선 탐색/너비 우선 탐색/다익스트라/그래프 이론/그래프 탐색,13549,숨바꼭질 3,Gold II,틀렸습니다,,,Python 3,760,2022-04-16 17:24
Gold III,깊이 우선 탐색/그래프 이론/그래프 탐색,9466,텀 프로젝트,UNRANK,런타임 에러 (RecursionError),,,PyPy3,558,2022-04-16 17:24
Bronze II,구현/문자열,10809,알파벳 찾기,Bronze I,틀렸습니다,,,Python 3,237,2022-04-16 17:24
Silver V,조합론/다이나믹 프로그래밍/수학,16395,파스칼의 삼각형,UNRANK,컴파일 에러,,,Python 3,281,2022-04-16 17:24
Bronze II,사칙연산/그리디 알고리즘/구현/수학,14471,포인트 카드,Bronze III,컴파일 에러,,,Python 3,357,2022-04-16 17:24
Silver III,그리디 알고리즘/수학/정렬,18310,안테나,UNRANK,출력 초과,,,PyPy3,311,2022-04-16 17:24
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Diamond V,시간 초과,,,C++17,1491,2022-04-16 17:24
UNRANK,,10889,Ancient symbol,Diamond II,맞았습니다!!,2020,0,C++17,170,2022-04-16 17:24
Gold III,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색/구현,16985,Maaaaaaaaaze,Gold III,맞았습니다!!,123392,2508,PyPy3,1783,2022-04-16 17:24
UNRANK,구현,15643,Yee,Silver I,틀렸습니다,,,Text,,2022-04-16 17:24
Gold III,다이나믹 프로그래밍/트리에서의 다이나믹 프로그래밍/트리,2533,사회망 서비스(SNS),Diamond IV,맞았습니다!!,70968,704,C++17,573,2022-04-16 17:24
Silver III,그리디 알고리즘/수학/정렬,18310,안테나,UNRANK,출력 초과,,,Python 3,311,2022-04-16 17:24
Bronze II,구현/수학/문자열,1225,이상한 곱셈,Bronze I,틀렸습니다,,,C++17,502,2022-04-16 17:24
Bronze III,사칙연산/구현/수학,2739,구구단,Silver I,맞았습니다!!,2020,0,C++17,197,2022-04-16 17:24
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,15591,MooTube (Silver),Silver II,맞았습니다!!,33096,100,Python 3,1386,2022-04-16 17:24
Bronze IV,사칙연산/수학,2480,주사위 세개,UNRANK,런타임 에러 (ValueError),,,Python 3,392,2022-04-16 17:24
Silver II,백트래킹/브루트포스 알고리즘,1182,부분수열의 합,Gold III,맞았습니다!!,14440,188,Java 11,1399,2022-04-16 17:24
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,틀렸습니다,,,Python 3,409,2022-04-16 17:24
Silver II,사칙연산/많은 조건 분기/구현/수학,1614,영식이의 손가락,Gold IV,컴파일 에러,,,Java 8,562,2022-04-16 17:24
Gold I,다익스트라/다이나믹 프로그래밍/그래프 이론,10217,KCM Travel,Gold III,시간 초과,,,Python 3,1633,2022-04-16 17:24
Bronze III,구현/다이나믹 프로그래밍/고속 푸리에 변환/포함 배제의 원리/수학/정수론/다이나믹 프로그래밍/고속 푸리에 변환/포함 배제의 원리/정수론/수학,2443,별 찍기 - 6,UNRANK,맞았습니다!!,30840,68,Python 3,285,2022-04-16 17:24
Bronze III,브루트포스 알고리즘/수학/정수론,5618,공약수,UNRANK,틀렸습니다,,,Java 8,825,2022-04-16 17:24
Gold V,다익스트라/그래프 이론,1916,최소비용 구하기,Gold II,틀렸습니다,,,Java 11,2141,2022-04-16 17:24
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Python 3,18,2022-04-16 17:24
Bronze III,사칙연산/구현/수학,10952,A+B - 5,UNRANK,틀렸습니다,,,C99,146,2022-04-16 17:24
Bronze V,구현,10926,??!,UNRANK,맞았습니다!!,30840,68,Python 3,26,2022-04-16 17:24
Gold III,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색/구현,16985,Maaaaaaaaaze,Gold III,런타임 에러 (NameError),,,PyPy3,1772,2022-04-16 17:24
Silver II,사칙연산/많은 조건 분기/구현/수학,1614,영식이의 손가락,Gold IV,컴파일 에러,,,Java 8,562,2022-04-16 17:24
Bronze III,사칙연산/구현/수학,2739,구구단,Bronze I,틀렸습니다,,,C99,156,2022-04-16 17:24
UNRANK,구현,15643,Yee,Silver I,틀렸습니다,,,Text,,2022-04-16 17:24
Silver V,조합론/다이나믹 프로그래밍/수학,16395,파스칼의 삼각형,UNRANK,런타임 에러 (EOFError),,,Python 3,306,2022-04-16 17:24
Gold V,그리디 알고리즘/정렬,1092,배,Gold IV,틀렸습니다,,,Java 11,1778,2022-04-16 17:24
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,18404,현명한 나이트,Gold III,시간 초과,,,Java 11,1834,2022-04-16 17:24
Silver III,백트래킹,15649,N과 M (1),UNRANK,컴파일 에러,,,Java 11,966,2022-04-16 17:24
Silver II,자료 구조/연결 리스트/스택,1406,에디터,Silver III,시간 초과,,,Java 11,2847,2022-04-16 17:24
Silver III,이분 탐색/매개 변수 탐색,2805,나무 자르기,Silver I,틀렸습니다,,,Java 8,1775,2022-04-16 17:24
UNRANK,구현,15643,Yee,Silver I,틀렸습니다,,,Text,,2022-04-16 17:23
Bronze III,구현/문자열,11718,그대로 출력하기,UNRANK,컴파일 에러,,,C++17,320,2022-04-16 17:23
Bronze V,사칙연산/구현/수학,3046,R2,UNRANK,런타임 에러 (Segfault),,,C99,148,2022-04-16 17:23
Silver IV,그리디 알고리즘,2847,게임을 만든 동준이,Platinum V,맞았습니다!!,14256,120,Java 15,998,2022-04-16 17:23
Bronze II,구현/문자열,1159,농구 경기,UNRANK,맞았습니다!!,2024,0,C++17,576,2022-04-16 17:23
Silver II,백트래킹/브루트포스 알고리즘,14889,스타트와 링크,Silver V,맞았습니다!!,133184,580,PyPy3,945,2022-04-16 17:23
Platinum V,자료 구조/분리 집합/오프라인 쿼리,15586,MooTube (Gold),Silver II,맞았습니다!!,126796,872,Python 3,1386,2022-04-16 17:23
Silver IV,그리디 알고리즘,13305,주유소,Silver IV,틀렸습니다,,,C++17,614,2022-04-16 17:23
Bronze III,사칙연산/구현/수학,2739,구구단,Bronze I,틀렸습니다,,,C99,158,2022-04-16 17:23
Bronze V,구현,10718,We love kriii,UNRANK,맞았습니다!!,13884,116,Java 11,168,2022-04-16 17:23
Gold V,자료 구조/덱/구현/파싱/문자열,5430,AC,Gold V,시간 초과,,,PyPy3,900,2022-04-16 17:23
Bronze III,구현/수학,10818,"최소, 최대",UNRANK,맞았습니다!!,4900,188,C99,390,2022-04-16 17:23
Silver II,브루트포스 알고리즘/구현,2615,오목,Gold IV,틀렸습니다,,,Java 8,2399,2022-04-16 17:23
Gold V,백트래킹/브루트포스 알고리즘/조합론/수학,1759,암호 만들기,Gold I,틀렸습니다,,,C++17,669,2022-04-16 17:23
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,UNRANK,맞았습니다!!,14208,128,Java 11,678,2022-04-16 17:23
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,12851,숨바꼭질 2,Gold IV,맞았습니다!!,3068,0,C99,930,2022-04-16 17:23
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Python 3,18,2022-04-16 17:23
Bronze III,사칙연산/구현/수학,10951,A+B - 4,Silver II,맞았습니다!!,2020,0,C++17,197,2022-04-16 17:23
Silver IV,그리디 알고리즘/수학/정렬,2217,로프,Silver III,틀렸습니다,,,C99,423,2022-04-16 17:23
Gold III,깊이 우선 탐색/그래프 이론/그래프 탐색/트리,1167,트리의 지름,Gold II,맞았습니다!!,190712,484,PyPy3,984,2022-04-16 17:23
Gold I,비트마스킹/다이나믹 프로그래밍/비트필드를 이용한 다이나믹 프로그래밍/외판원 순회 문제,2098,외판원 순회,Diamond III,맞았습니다!!,145324,544,PyPy3,1690,2022-04-16 17:23
Bronze IV,사칙연산/수학/문자열,13985,Equality,Gold V,맞았습니다!!,2020,0,C++17,179,2022-04-16 17:23
Silver III,다이나믹 프로그래밍,1463,1로 만들기,Bronze I,틀렸습니다,,,Java 11,880,2022-04-16 17:23
Bronze III,구현/문자열,11718,그대로 출력하기,UNRANK,틀렸습니다,,,C++17,230,2022-04-16 17:23
Bronze V,구현,10171,고양이,UNRANK,맞았습니다!!,9276,120,node.js,99,2022-04-16 17:23
Gold IV,백트래킹/구현,2239,스도쿠,Gold III,맞았습니다!!,30840,7116,Python 3,918,2022-04-16 17:23
Bronze II,구현/수학,2908,상수,Silver IV,맞았습니다!!,1112,0,C99,483,2022-04-16 17:23
Silver II,너비 우선 탐색/다익스트라/그래프 이론/그래프 탐색,18352,특정 거리의 도시 찾기,Gold I,시간 초과,,,Python 3,881,2022-04-16 17:23
Bronze I,구현/문자열,1157,단어 공부,UNRANK,런타임 에러 (IndexError),,,Python 3,243,2022-04-16 17:23
Silver I,분할 정복/재귀,2447,별 찍기 - 10,UNRANK,맞았습니다!!,2020,252,C++17,557,2022-04-16 17:23
Gold III,이분 탐색/값 / 좌표 압축/다이나믹 프로그래밍,19623,회의실 배정 4,Gold II,맞았습니다!!,15284,168,C++20,1231,2022-04-16 17:23
Silver II,사칙연산/많은 조건 분기/구현/수학,1614,영식이의 손가락,Gold IV,틀렸습니다,,,Java 8,556,2022-04-16 17:23
Bronze V,사칙연산/구현/수학,3046,R2,UNRANK,런타임 에러 (Segfault),,,C99,129,2022-04-16 17:23
Silver V,정렬/문자열,1427,소트인사이드,Silver II,맞았습니다!!,1116,0,C99,1056,2022-04-16 17:23
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,컴파일 에러,,,Python 3,22,2022-04-16 17:23
Gold IV,재귀,2448,별 찍기 - 11,Gold I,맞았습니다!!,51152,328,Java 8,711,2022-04-16 17:23
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,시간 초과,,,Python 3,293,2022-04-16 17:23
Silver III,조합론/수학/확률론,13251,조약돌 꺼내기,Platinum V,런타임 에러 (OverflowError),,,Python 3,489,2022-04-16 17:23
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,16928,뱀과 사다리 게임,Gold I,맞았습니다!!,14276,128,Java 11,1784,2022-04-16 17:23
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,UNRANK,틀렸습니다,,,Java 11,679,2022-04-16 17:23
Silver II,그리디 알고리즘/수학/파싱/문자열,1541,잃어버린 괄호,UNRANK,맞았습니다!!,30840,68,Python 3,110,2022-04-16 17:22
Bronze II,사칙연산/수학,13458,시험 감독,Gold II,틀렸습니다,,,Java 8,609,2022-04-16 17:22
Bronze III,브루트포스 알고리즘/수학/정수론,5618,공약수,UNRANK,틀렸습니다,,,Java 8,840,2022-04-16 17:22
Bronze I,구현/문자열,1157,단어 공부,UNRANK,런타임 에러 (NameError),,,Python 3,232,2022-04-16 17:22
Gold III,다익스트라/그래프 이론,11779,최소비용 구하기 2,Gold III,시간 초과,,,PyPy3,989,2022-04-16 17:22
Bronze V,구현,10172,개,UNRANK,맞았습니다!!,30840,64,Python 3,81,2022-04-16 17:22
Bronze III,구현/수학,8393,합,UNRANK,출력 초과,,,Python 3,52,2022-04-16 17:22
Silver III,조합론/수학/확률론,13251,조약돌 꺼내기,Platinum V,컴파일 에러,,,C++17,489,2022-04-16 17:22
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,UNRANK,맞았습니다!!,1116,0,C99,596,2022-04-16 17:22
Gold V,깊이 우선 탐색/그래프 이론/그래프 탐색,13023,ABCDE,Bronze V,맞았습니다!!,19128,216,Java 8,1834,2022-04-16 17:22
Silver V,구현/문자열,1316,그룹 단어 체커,UNRANK,틀렸습니다,,,C++17,450,2022-04-16 17:22
Bronze V,사칙연산/구현/수학,1001,A-B,UNRANK,맞았습니다!!,17700,204,Java 11,228,2022-04-16 17:22
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,컴파일 에러,,,Python 3,21,2022-04-16 17:22
Silver III,다이나믹 프로그래밍,1463,1로 만들기,Silver III,틀렸습니다,,,Python 3,718,2022-04-16 17:22
Silver II,백트래킹/브루트포스 알고리즘,1182,부분수열의 합,Gold IV,틀렸습니다,,,C++17,429,2022-04-16 17:22
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,UNRANK,컴파일 에러,,,Java 11,683,2022-04-16 17:22
Platinum V,자료 구조/분리 집합/오프라인 쿼리,15586,MooTube (Gold),Silver II,런타임 에러 (RecursionError),,,Python 3,1342,2022-04-16 17:22
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Platinum III,틀렸습니다,,,C++17,798,2022-04-16 17:22
Silver I,너비 우선 탐색/브루트포스 알고리즘/깊이 우선 탐색/그래프 이론/그래프 탐색,2468,안전 영역,Silver I,맞았습니다!!,2404,16,C++17,1183,2022-04-16 17:22
Bronze II,구현/수학,2908,상수,Silver IV,컴파일 에러,,,C99,472,2022-04-16 17:22
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,맞았습니다!!,2020,0,C++17,422,2022-04-16 17:22
Bronze III,사칙연산/구현/수학,10950,A+B - 3,UNRANK,맞았습니다!!,30840,76,Python 3,88,2022-04-16 17:22
Silver V,브루트포스 알고리즘,1018,체스판 다시 칠하기,Silver II,맞았습니다!!,30840,112,Python 3,709,2022-04-16 17:22
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,UNRANK,시간 초과,,,Python 3,595,2022-04-16 17:22
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,런타임 에러 (NameError),,,Python 3,10,2022-04-16 17:22
Bronze III,구현,7595,Triangles,Silver II,맞았습니다!!,1112,8,C++17,221,2022-04-16 17:22
Bronze III,구현,2438,별 찍기 - 1,UNRANK,틀렸습니다,,,Python 3,95,2022-04-16 17:22
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1260,DFS와 BFS,Silver I,런타임 에러 (IndexError),,,Python 3,739,2022-04-16 17:22
Bronze I,구현/문자열,1157,단어 공부,UNRANK,시간 초과,,,Python 3,219,2022-04-16 17:22
Bronze II,브루트포스 알고리즘,2231,분해합,UNRANK,틀렸습니다,,,Python 3,173,2022-04-16 17:22
Bronze III,구현/문자열,11718,그대로 출력하기,UNRANK,틀렸습니다,,,C++17,228,2022-04-16 17:22
Bronze III,구현/수학,10872,팩토리얼,Silver IV,맞았습니다!!,30840,72,Python 3,188,2022-04-16 17:22
Bronze III,구현/수학,10871,X보다 작은 수,UNRANK,맞았습니다!!,30840,72,Python 3,165,2022-04-16 17:22
Gold V,0-1 너비 우선 탐색/너비 우선 탐색/다익스트라/그래프 이론/그래프 탐색,13549,숨바꼭질 3,Gold II,틀렸습니다,,,Python 3,940,2022-04-16 17:22
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,1697,숨바꼭질,Gold V,메모리 초과,,,Python 3,268,2022-04-16 17:22
Bronze V,구현,10172,개,UNRANK,틀렸습니다,,,Python 3,82,2022-04-16 17:22
Bronze III,브루트포스 알고리즘/수학/정수론,5618,공약수,UNRANK,틀렸습니다,,,Java 8,839,2022-04-16 17:22
Gold III,깊이 우선 탐색/그래프 이론/그래프 탐색,9466,텀 프로젝트,UNRANK,런타임 에러 (RecursionError),,,PyPy3,539,2022-04-16 17:22
Bronze IV,사칙연산/수학,2480,주사위 세개,UNRANK,런타임 에러 (ValueError),,,Python 3,406,2022-04-16 17:22
Bronze V,구현,10172,개,UNRANK,맞았습니다!!,1112,0,C11,129,2022-04-16 17:22
Gold V,깊이 우선 탐색/그래프 이론/그래프 탐색,13023,ABCDE,Silver III,맞았습니다!!,20324,216,Java 8,1834,2022-04-16 17:22
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,Gold V,런타임 에러 (ValueError),,,Python 3,585,2022-04-16 17:22
Gold IV,백트래킹/비트마스킹/브루트포스 알고리즘,1062,가르침,Gold I,맞았습니다!!,2024,132,C++17,1482,2022-04-16 17:22
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver II,맞았습니다!!,113248,104,PyPy3,93,2022-04-16 17:22
Silver II,수학/정수론/소수 판정/에라토스테네스의 체,4948,베르트랑 공준,Gold IV,맞았습니다!!,34884,636,Python 3,395,2022-04-16 17:22
Bronze II,구현/수학,2908,상수,UNRANK,맞았습니다!!,30840,72,Python 3,108,2022-04-16 17:22
Silver IV,그리디 알고리즘,2847,게임을 만든 동준이,Platinum V,틀렸습니다,,,Java 15,997,2022-04-16 17:22
Gold V,자료 구조/덱/구현/파싱/문자열,5430,AC,UNRANK,런타임 에러 (ValueError),,,Python 3,440,2022-04-16 17:22
Gold V,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색,14502,연구소,Silver IV,맞았습니다!!,31012,4216,Python 3,1085,2022-04-16 17:22
Silver III,이분 탐색/매개 변수 탐색,2512,예산,UNRANK,맞았습니다!!,1152,0,C++17,718,2022-04-16 17:22
Silver V,브루트포스 알고리즘/구현,7568,덩치,Bronze IV,틀렸습니다,,,C99 (Clang),406,2022-04-16 17:22
Bronze II,브루트포스 알고리즘,2231,분해합,UNRANK,틀렸습니다,,,Python 3,158,2022-04-16 17:22
Silver III,자료 구조/덱,2346,풍선 터뜨리기,Silver III,틀렸습니다,,,C++17,825,2022-04-16 17:22
Silver III,다이나믹 프로그래밍,1003,피보나치 함수,UNRANK,맞았습니다!!,30840,72,Python 3,295,2022-04-16 17:22
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Python 3,22,2022-04-16 17:22
Silver III,자료 구조/스택,1874,스택 수열,Gold V,시간 초과,,,C++17,709,2022-04-16 17:22
Gold V,깊이 우선 탐색/그래프 이론/그래프 탐색,13023,ABCDE,Silver III,컴파일 에러,,,Java 8,1860,2022-04-16 17:22
Silver IV,그리디 알고리즘,2847,게임을 만든 동준이,Platinum V,틀렸습니다,,,Java 15,997,2022-04-16 17:22
Gold III,구현,16722,결! 합!,UNRANK,틀렸습니다,,,Java 8,4900,2022-04-16 17:22
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,UNRANK,맞았습니다!!,30840,72,Python 3,267,2022-04-16 17:22
Bronze V,구현,10172,개,Not ratable,맞았습니다!!,30840,68,Python 3,64,2022-04-16 17:21
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,맞았습니다!!,30840,68,Python 3,86,2022-04-16 17:21
Platinum IV,다이나믹 프로그래밍,2449,전구,Diamond IV,틀렸습니다,,,C++17,1487,2022-04-16 17:21
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,7576,토마토,Silver IV,시간 초과,,,PyPy3,1028,2022-04-16 17:21
Ruby IV,비트 집합/분할 정복/다이나믹 프로그래밍/히르쉬버그,18440,LCS 7,Diamond II,맞았습니다!!,3236,560,C++20,4507,2022-04-16 17:21
Silver V,수학/정수론,1037,약수,Platinum V,맞았습니다!!,17732,204,Java 11,493,2022-04-16 17:21
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,15591,MooTube (Silver),Gold II,틀렸습니다,,,C++17,1992,2022-04-16 17:21
Gold IV,백트래킹/구현,2239,스도쿠,Gold III,시간 초과,,,Python 3,878,2022-04-16 17:21
Silver I,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,2667,단지번호붙이기,Gold IV,맞았습니다!!,31084,68,Python 3,543,2022-04-16 17:21
Bronze I,구현/수학,1110,더하기 사이클,UNRANK,맞았습니다!!,30840,68,Python 3,179,2022-04-16 17:21
Bronze IV,사칙연산/수학,2588,곱셈,Bronze IV,맞았습니다!!,30840,68,Python 3,95,2022-04-16 17:21
Bronze I,구현/수학/물리학,15830,싱크홀,Silver I,틀렸습니다,,,Python 3,82,2022-04-16 17:21
Bronze I,구현/수학,1193,분수찾기,Silver V,맞았습니다!!,2020,0,C++17,315,2022-04-16 17:21
Gold IV,구현/시뮬레이션,14499,주사위 굴리기,Platinum V,시간 초과,,,C++20,1762,2022-04-16 17:21
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C++17,391,2022-04-16 17:21
Gold V,자료 구조/덱/구현/파싱/문자열,5430,AC,UNRANK,런타임 에러 (ValueError),,,Python 3,438,2022-04-16 17:21
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Python 3,18,2022-04-16 17:21
Silver V,유클리드 호제법/수학/정수론,2609,최대공약수와 최소공배수,Gold III,맞았습니다!!,30840,68,Python 3,183,2022-04-16 17:21
Silver IV,자료 구조/해시를 사용한 집합과 맵,1620,나는야 포켓몬 마스터 이다솜,Silver I,맞았습니다!!,148316,392,PyPy3,367,2022-04-16 17:21
Gold IV,자료 구조/그리디 알고리즘/우선순위 큐,1715,카드 정렬하기,Gold III,출력 초과,,,PyPy3,417,2022-04-16 17:21
Silver II,그리디 알고리즘/수학/파싱/문자열,1541,잃어버린 괄호,UNRANK,런타임 에러 (TypeError),,,Python 3,97,2022-04-16 17:21
Bronze I,구현/문자열,1157,단어 공부,UNRANK,시간 초과,,,Python 3,211,2022-04-16 17:21
Platinum III,깊이 우선 탐색/다이나믹 프로그래밍/트리에서의 다이나믹 프로그래밍/그래프 이론/그래프 탐색/트리,21759,두 개의 팀,Gold III,틀렸습니다,,,PyPy3,762,2022-04-16 17:21
Bronze V,구현,10172,개,UNRANK,맞았습니다!!,30840,64,Python 3,126,2022-04-16 17:21
Bronze V,사칙연산/구현/수학,2558,A+B - 2,UNRANK,맞았습니다!!,1112,0,C99,126,2022-04-16 17:21
Gold IV,깊이 우선 탐색/그래프 이론/그래프 탐색/트리,1967,트리의 지름,Bronze I,맞았습니다!!,44840,104,Python 3,811,2022-04-16 17:21
Gold I,다익스트라/다이나믹 프로그래밍/그래프 이론,10217,KCM Travel,Gold III,시간 초과,,,Python 3,1589,2022-04-16 17:21
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,Platinum V,맞았습니다!!,525880,1344,Python 3,978,2022-04-16 17:21
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,Silver V,맞았습니다!!,2020,0,C++17,298,2022-04-16 17:21
Gold V,이분 탐색/두 포인터,2467,용액,Gold I,틀렸습니다,,,Python 3,508,2022-04-16 17:21
Bronze IV,사칙연산/수학,2588,곱셈,UNRANK,런타임 에러 (ValueError),,,Python 3,112,2022-04-16 17:21
Bronze I,구현/문자열,1157,단어 공부,UNRANK,컴파일 에러,,,Python 3,210,2022-04-16 17:21
Bronze IV,사칙연산/수학,2525,오븐 시계,Gold I,맞았습니다!!,30840,68,Python 3,144,2022-04-16 17:21
Gold V,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색,14502,연구소,Silver IV,맞았습니다!!,128108,900,PyPy3,1085,2022-04-16 17:21
Gold V,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,10026,적록색약,Platinum V,맞았습니다!!,2060,0,C++20,1405,2022-04-16 17:21
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,틀렸습니다,,,Python 3,22,2022-04-16 17:21
Platinum V,자료 구조/분할 정복/세그먼트 트리/스택,1725,히스토그램,Platinum IV,맞았습니다!!,3724,12,C++17,758,2022-04-16 17:21
Gold IV,구현/시뮬레이션,14499,주사위 굴리기,UNRANK,맞았습니다!!,114408,116,PyPy3,1058,2022-04-16 17:21
Gold IV,백트래킹/비트마스킹/브루트포스 알고리즘,1062,가르침,Gold I,틀렸습니다,,,C++17,1502,2022-04-16 17:21
